row_index,risk_label,split
0,0,train
1,1,train
2,0,test
3,1,test
4,0,train
5,1,train
6,1,train
7,1,train
8,1,train
9,1,test
10,1,train
11,1,test
12,1,train
13,0,train
14,0,train
15,0,train
16,0,train
17,0,train
18,0,train
19,0,train
20,0,train
21,1,test
22,1,train
23,1,validation
24,1,validation
25,0,train
26,1,train
27,0,train
28,1,train
29,1,train
30,0,validation
31,0,test
32,1,train
33,1,validation
34,0,train
35,1,train
36,0,train
37,0,train
38,0,train
39,0,train
40,1,train
41,0,test
42,1,train
43,0,test
44,0,train
45,0,train
46,0,train
47,1,train
48,1,validation
49,0,train
50,1,train
51,0,train
52,1,validation
53,1,train
54,1,validation
55,1,train
56,1,train
57,1,train
58,0,validation
59,1,train
60,1,validation
61,0,train
62,0,train
63,0,train
64,1,train
65,1,train
66,1,train
67,0,train
68,1,test
69,1,train
70,1,test
71,0,train
72,1,train
73,1,train
74,0,train
75,0,validation
76,0,train
77,0,train
78,0,test
79,0,train
80,0,validation
81,1,test
82,0,train
83,0,train
84,1,train
85,0,train
86,0,train
87,0,train
88,0,train
89,1,train
90,0,validation
91,1,train
92,1,train
93,0,validation
94,0,test
95,1,train
96,1,test
97,0,train
98,1,train
99,0,train
100,0,train
101,1,train
102,0,test
103,0,train
104,0,validation
105,0,train
106,0,validation
107,0,test
108,0,validation
109,0,validation
110,0,train
111,0,train
112,0,train
113,0,train
114,1,train
115,1,train
116,0,train
117,0,train
118,0,train
119,1,train
120,1,train
121,0,train
122,0,train
123,1,validation
124,1,train
125,1,train
126,0,train
127,0,train
128,1,train
129,1,train
130,0,test
131,0,train
132,0,train
133,1,test
134,0,test
135,0,train
136,0,train
137,0,validation
138,1,train
139,0,train
140,0,train
141,1,train
142,0,train
143,1,train
144,0,validation
145,1,train
146,0,validation
147,0,train
148,0,train
149,0,train
150,0,train
151,1,train
152,0,test
153,1,train
154,0,test
155,0,train
156,0,validation
157,0,train
158,0,test
159,0,train
160,0,validation
161,1,validation
162,1,train
163,1,train
164,0,validation
165,0,train
166,0,train
167,0,validation
168,0,test
169,1,train
170,1,train
171,0,train
172,0,validation
173,1,train
174,0,test
175,0,test
176,0,validation
177,0,train
178,1,train
179,1,train
180,1,validation
181,1,train
182,0,test
183,0,train
184,1,train
185,1,train
186,0,train
187,1,validation
188,0,validation
189,1,validation
190,0,train
191,1,validation
192,0,train
193,0,train
194,0,train
195,0,train
196,0,train
197,0,test
198,0,train
199,0,train
200,0,train
201,0,train
202,0,test
203,0,train
204,0,validation
205,1,test
206,0,train
207,0,train
208,0,train
209,1,validation
210,0,train
211,0,train
212,0,test
213,0,test
214,0,validation
215,1,validation
216,0,train
217,0,train
218,0,train
219,0,train
220,1,train
221,0,train
222,1,train
223,1,train
224,0,train
225,0,train
226,0,validation
227,1,train
228,0,train
229,1,validation
230,1,test
231,0,train
232,1,train
233,1,train
234,1,train
235,1,train
236,0,train
237,1,train
238,1,validation
239,0,validation
240,1,train
241,1,train
242,1,test
243,1,train
244,0,train
245,1,train
246,0,train
247,0,train
248,0,validation
249,1,train
250,0,validation
251,0,test
252,0,train
253,1,validation
254,0,test
255,1,test
256,0,train
257,0,train
258,0,train
259,0,train
260,1,train
261,1,train
262,0,train
263,0,test
264,0,validation
265,0,train
266,0,test
267,0,train
268,0,train
269,0,train
270,1,train
271,0,train
272,0,train
273,0,train
274,0,train
275,0,validation
276,0,train
277,1,train
278,1,train
279,0,train
280,0,train
281,0,validation
282,0,train
283,0,train
284,0,train
285,0,validation
286,0,train
287,1,train
288,1,train
289,0,validation
290,0,test
291,0,train
292,1,test
293,0,validation
294,1,test
295,1,train
296,0,train
297,1,validation
298,0,train
299,0,train
300,1,train
301,0,validation
302,0,train
303,0,test
304,0,test
305,0,validation
306,1,train
307,0,train
308,0,test
309,0,train
310,0,train
311,1,validation
312,0,train
313,0,train
314,1,train
315,1,train
316,1,validation
317,1,train
318,1,train
319,1,train
320,1,train
321,1,train
322,0,train
323,0,train
324,0,train
325,0,train
326,1,validation
327,0,train
328,1,test
329,0,train
330,0,test
331,1,test
332,0,test
333,1,train
334,1,test
335,0,train
336,1,train
337,0,train
338,0,train
339,0,train
340,1,train
341,1,train
342,0,train
343,0,train
344,0,test
345,0,train
346,1,train
347,1,train
348,0,train
349,1,train
350,1,train
351,1,train
352,1,test
353,0,train
354,0,test
355,0,validation
356,0,train
357,0,train
358,0,train
359,1,validation
360,0,train
361,1,validation
362,1,train
363,1,test
364,0,train
365,0,train
366,0,train
367,1,train
368,1,validation
369,1,test
370,1,test
371,0,train
372,1,validation
373,1,train
374,1,test
375,1,train
376,1,train
377,1,train
378,1,train
379,1,train
380,1,train
381,1,train
382,1,test
383,1,test
384,1,test
385,1,train
386,0,validation
387,0,test
388,0,train
389,0,train
390,1,train
391,0,train
392,0,train
393,1,train
394,1,train
395,1,train
396,1,train
397,1,test
398,0,train
399,0,train
400,0,test
401,1,validation
402,1,train
403,1,train
404,1,train
405,1,train
406,1,validation
407,1,train
408,1,train
409,0,train
410,1,train
411,1,test
412,0,train
413,1,train
414,1,train
415,1,train
416,1,train
417,1,train
418,1,train
419,1,test
420,1,train
421,1,test
422,0,train
423,1,validation
424,1,validation
425,1,train
426,0,train
427,1,train
428,0,train
429,1,validation
430,1,train
431,1,train
432,0,train
433,1,train
434,1,test
435,1,train
436,1,validation
437,1,train
438,1,train
439,1,train
440,1,train
441,1,test
442,1,train
443,0,test
444,1,train
445,1,train
446,1,train
447,1,train
448,1,train
